"categoria","subcategoria","empresa","pais_o_region","rol","relacion_para_nueva_empresa","prioridad","url","nota_verificada"
"Fabricante","Densificadores y resinas","Sika","Global / España","Fabricante multitecnología","Proveedor, formación y homologación; también prescribe","Muy alta","https://www.sika.com/en/construction/floor-systems.html","Cartera global de pavimentos"
"Fabricante","Densificadores y resinas","Mapei","Global / España","Fabricante multitecnología","Proveedor, formación y homologación","Muy alta","https://www.mapei.com/es/es/","Cartera local y global"
"Fabricante","Densificadores","Euclid Chemical","Global","Química para hormigón","Referencia técnica; comprobar distribución europea","Media","https://www.euclidchemical.com/products/construction-products/liquid-densifiers/eucosil/","Publica densificadores líquidos"
"Fabricante","Resinas y PU-cemento","Tremco CPG / Flowcrete","Europa / España","Fabricante de sistemas de resina","Proveedor y homologación potencial","Muy alta","https://www.tremcocpg.eu/en-gb/products-solutions/construction-solutions/resin-flooring-screeds/","Cartera europea de resinas y recrecidos"
"Fabricante","PU-cemento","Sika Ucrete","Global / España","Sistema para alta exigencia","Proveedor clave para alimentación y química","Muy alta","https://www.sika.com/en/brands/sika-ucrete.html","Sistema de PU-cemento"
"Fabricante","Resinas","Stonhard","Global / Europa","Fabricante/aplicador de sistemas","Competidor indirecto y benchmark de venta vertical","Alta","https://cms.stonhard.com/contact/europe","Presencia europea"
"Fabricante","Resinas","Remmers","Europa / España","Fabricante de sistemas industriales","Proveedor potencial","Alta","https://www.remmers.ie/en_IE/constructionflooring/synthetic-resin-flooring/industrial-flooring-systems/c/c8708","Cartera industrial"
"Fabricante","Reparación y resinas","Fosroc","Global / España","Química de construcción","Proveedor y prescriptor potencial","Alta","https://www.fosroc.com/","Cartera de reparación y protección"
"Fabricante","Morteros y resinas","ARDEX","Global / España","Fabricante de preparación y acabados","Proveedor y formación potencial","Alta","https://ardex.es/","Presencia oficial en España"
"Fabricante","Reparación y protección","MC-Bauchemie","Europa / España","Química de construcción","Proveedor potencial","Media","https://www.mc-bauchemie.es/","Presencia oficial en España"
"Fabricante","Protección de hormigón","StoCretec","Europa / España","Sistemas de protección y suelos","Proveedor potencial","Media","https://www.sto.es/","Validar gama local StoCretec"
"Fabricante","Resinas rápidas","Triflex","Europa / España","Fabricante de PMMA","Proveedor especializado para curado rápido","Alta","https://www.triflex.com/","Especialista en sistemas líquidos de PMMA"
"Fabricante","Reparación y recubrimientos","Watco","Europa","Venta directa de productos de suelo","Competidor de soluciones simples y proveedor adyacente","Media","https://www.watco.fr/","Cartera europea de reparación y recubrimiento; no se confirmó tienda española activa"
"Maquinaria","Rectificado y preparación","Husqvarna Construction / HTC / Blastrac","Global / España","Fabricante de maquinaria, diamante y aspiración","Proveedor, formación y benchmark de flota","Muy alta","https://www.husqvarnaconstruction.com/us/floor-grinders/about/","Cartera integrada de preparación de superficies"
"Maquinaria","Rectificado y pulido","Scanmaskin / Tyrolit","Europa / España","Fabricante de máquinas y abrasivos","Proveedor potencial","Alta","https://scanmaskin.com/","Scanmaskin forma parte de Tyrolit"
"Maquinaria","Rectificado y preparación","Schwamborn","Europa / España","Fabricante de maquinaria","Proveedor potencial","Alta","https://www.schwamborn.com/en","Cartera profesional"
"Maquinaria","Rectificado y pulido","Superabrasive / LAVINA","Global / Europa","Fabricante de máquinas y herramientas","Proveedor potencial","Alta","https://superabrasive.com/","Cartera LAVINA"
"Maquinaria","Rectificado y pulido","Klindex","Europa / España","Fabricante de maquinaria","Proveedor potencial","Media","https://www.klindex.com/","Cartera de preparación y pulido"
"Maquinaria","Herramienta y aspiración","Hilti","Global / España","Herramienta profesional","Proveedor de corte, desbaste y control de polvo","Media","https://www.hilti.es/","Presencia oficial española"
"Maquinaria","Abrasivos","Norton / Saint-Gobain Abrasives","Global / España","Fabricante de abrasivos","Proveedor potencial","Media","https://www.nortonabrasives.com/es-es","Cartera española"
"Maquinaria","Abrasivos","Tyrolit","Global / España","Fabricante de herramientas abrasivas","Proveedor potencial","Alta","https://www.tyrolit.com/","Cartera profesional"
"Limpieza","Fregadoras industriales","Tennant","Global / España","Fabricante de limpieza mecanizada","Partner de mantenimiento y referencia de limpieza","Alta","https://www.tennantco.com/es_es/","Cartera de limpieza industrial"
"Limpieza","Fregadoras y aspiración","Nilfisk","Global / España","Fabricante de limpieza","Partner de mantenimiento","Alta","https://www.nilfisk.com/es-es/","Presencia española"
"Limpieza","Limpieza profesional","Kärcher","Global / España","Fabricante de limpieza","Partner y referencia de protocolos","Alta","https://www.kaercher.com/es/professional.html","Cartera profesional"
"Limpieza","Fregadoras industriales","Hako","Europa / España","Fabricante de limpieza","Partner potencial","Media","https://www.hako.com/","Cartera industrial"
"Limpieza","Fregadoras industriales","Fimap","Europa / España","Fabricante de limpieza","Partner potencial","Media","https://www.fimap.com/","Cartera profesional"
"Asociación","Pavimentos continuos","AEPC","España","Asociación y esquema de acreditación","Referencia sectorial; acreditación futura","Muy alta","https://www.aepc.info/","Publica requisitos de acreditación voluntaria"
"Asociación","Resinas","FeRFA","Reino Unido","Asociación de resinas y guías técnicas","Benchmark de formación y documentación","Alta","https://ferfa.org.uk/","Asociación sectorial"
"Asociación","Hormigón","The Concrete Society","Reino Unido / internacional","Entidad técnica","Fuente de guías de regularidad y suelos","Alta","https://www.concrete.org.uk/","Publica recursos técnicos"
"Asociación","Pavimentos continuos","ANFAH","España","Asociación de fabricantes","Fuente sectorial y red de fabricantes","Media","https://anfah.org/","Asociación española"
"Asociación","Morteros y SATE","ANFAPA","España","Asociación de fabricantes","Fuente adyacente de morteros y normativa","Media","https://anfapa.com/","Asociación española"
"Propietario / desarrollador","Logística","Prologis","Europa / España","Propietario y gestor logístico","Cuenta objetivo y canal por portfolio","Muy alta","https://www.prologis.es/","Presencia oficial española"
"Propietario / desarrollador","Logística","Panattoni","Europa / España","Desarrollador logístico","Cuenta objetivo, obra nueva y rehabilitación","Muy alta","https://panattonieurope.com/en-es","Presencia oficial española"
"Propietario / desarrollador","Logística","SEGRO","Europa","Propietario y desarrollador logístico","Cuenta objetivo multinacional","Alta","https://www.segro.com/","Web corporativa oficial"
"Propietario / desarrollador","Logística","Logicor","Europa / España","Propietario y gestor logístico","Cuenta objetivo por portfolio","Muy alta","https://www.logicor.eu/en","Presencia europea"
"Propietario / desarrollador","Logística","Goodman","Global / España","Propietario y desarrollador logístico","Cuenta objetivo y prescriptor","Muy alta","https://es.goodman.com/en/about-goodman/about-us","Presencia oficial española"
"Propietario / desarrollador","Logística","CTP","Europa","Propietario y desarrollador industrial/logístico","Cuenta objetivo para expansión europea","Alta","https://ctp.eu/","Web corporativa oficial"
"Propietario / desarrollador","Logística","P3 Logistic Parks","Europa / España","Propietario y desarrollador logístico","Cuenta objetivo","Alta","https://www.p3parks.com/","Presencia europea"
"Propietario / desarrollador","Logística","GLP","Global / Europa","Inversor y desarrollador logístico","Cuenta objetivo multinacional","Alta","https://eu.glp.com/","Presencia europea"
"Propietario / desarrollador","Última milla","Mileway","Europa / España","Propietario de logística urbana","Cuenta objetivo por rehabilitación de activos","Alta","https://mileway.com/","Portfolio europeo"
"Propietario / desarrollador","Logística e industrial","VGP","Europa / España","Propietario y desarrollador","Cuenta objetivo","Alta","https://www.vgpparks.eu/","Presencia europea"
"Propietario / desarrollador","Inmobiliario logístico","MERLIN Properties","España / Portugal","Propietario e inversor","Cuenta objetivo nacional","Alta","https://www.merlinproperties.com/","Portfolio inmobiliario"
"Propietario / desarrollador","Logística","Montepino","España","Promotor y gestor logístico","Cuenta objetivo nacional","Muy alta","https://montepino.net/es/","Especialista logístico"
"Propietario / desarrollador","Logística","Newdock","España","Gestor y desarrollador logístico","Cuenta objetivo nacional","Muy alta","https://www.newdock.com/","Especialista logístico"
"Facility management","Industrial y logística","CBRE","Global / España","Gestor, consultor y prescriptor","Canal y cuenta objetivo","Muy alta","https://www.cbre.com/services/manage-properties-and-portfolios/facilities-management/industrial-and-logistics-facilities-management","Plataforma de FM industrial/logístico"
"Facility management","Inmobiliario e industrial","JLL","Global / España","Gestor, consultor y prescriptor","Canal y cuenta objetivo","Muy alta","https://www.jll.es/","Presencia oficial española"
"Facility management","Servicios integrados","ISS","Global / España","Facility manager","Canal y comprador potencial","Alta","https://www.issworld.com/es-es","Presencia oficial española"
"Facility management","Servicios integrados","EULEN","España / internacional","Facility manager","Canal y comprador potencial","Alta","https://www.eulen.com/es/","Grupo español"
"Facility management","Servicios integrados","Clece","España","Facility manager","Canal y comprador potencial","Alta","https://www.clece.es/","Grupo español"
"Facility management","Servicios técnicos","Apleona","Europa / España","Facility manager técnico","Canal y comprador potencial","Alta","https://apleona.com/","Presencia europea"
"Facility management","Servicios técnicos","SPIE","Europa / España","Servicios multitécnicos","Canal, prescriptor y comprador","Alta","https://www.spie.com/","Grupo europeo"
"Facility management","Servicios técnicos","Equans","Global / Europa","Servicios energéticos y multitécnicos","Canal, prescriptor y comprador","Alta","https://www.equans.com/","Grupo global de servicios multitécnicos"
"Automatización","Intralogística","Mecalux","Global / España","Integrador de almacenes, software y automatización","Prescriptor y partner para requisitos de suelo","Muy alta","https://www.mecalux.es/","Empresa española de intralogística"
"Automatización","Almacenamiento cúbico","AutoStore","Global / Europa","Proveedor de automatización","Prescriptor de tolerancias y cuenta/partner","Muy alta","https://www.autostoresystem.com/","Sistema de almacenamiento automatizado"
"Automatización","Intralogística","Dematic","Global / España","Integrador de automatización","Prescriptor y partner","Muy alta","https://www.dematic.com/es-es/","Presencia oficial española"
"Automatización","Intralogística","SSI Schäfer","Global / España","Integrador de automatización y estanterías","Prescriptor y partner","Muy alta","https://www.ssi-schaefer.com/es-es","Presencia oficial española"
"Automatización","Intralogística","Swisslog","Global / España","Integrador de automatización","Prescriptor y partner","Muy alta","https://www.swisslog.com/es-es","Presencia oficial española"
"Automatización","Intralogística","KNAPP","Global / España","Integrador de automatización","Prescriptor y partner","Alta","https://www.knapp.com/","Web corporativa oficial"
"Automatización","Intralogística","TGW Logistics","Global / España","Integrador de automatización","Prescriptor y partner","Alta","https://www.tgw-group.com/","Web corporativa oficial"
"Automatización","Intralogística","Vanderlande","Global / España","Integrador de automatización","Prescriptor y partner","Alta","https://www.vanderlande.com/","Web corporativa oficial"
"Automatización","Intralogística","WITRON","Global / Europa","Integrador de automatización","Prescriptor y partner","Alta","https://www.witron.de/en/","Web corporativa oficial"
"Automatización","Robótica móvil","Exotec","Global / Europa","Proveedor de robots de almacén","Prescriptor de condición geométrica","Alta","https://www.exotec.com/","Robótica para almacenes"
"Automatización","Carretillas y almacén","Jungheinrich","Global / España","Fabricante e integrador intralogístico","Prescriptor de planimetría y partner","Muy alta","https://www.jungheinrich.es/","Presencia oficial española"
"Automatización","Carretillas y almacén","KION Group / Linde / STILL","Global / España","Fabricante e integrador","Prescriptor de planimetría y partner","Muy alta","https://www.kiongroup.com/","Grupo de intralogística"
"Automatización","Carretillas y almacén","Toyota Material Handling","Global / España","Fabricante e integrador","Prescriptor de planimetría y partner","Muy alta","https://toyota-forklifts.es/","Presencia oficial española"
